instance_id,pair_id,text1_lang,text2_lang,text1,text2,reverse_pair_id,label
dico_trial_0001__en-es__forward,dico_trial_0001,en,es,at 91,de 91 años,dico_trial_0001__es-en__reverse,EQUIVALENCE
dico_trial_0001__en-es__reverse,dico_trial_0001,en,es,aged 91,a los 91 años,dico_trial_0001__es-en__forward,EQUIVALENCE
dico_trial_0001__en-eu__forward,dico_trial_0001,en,eu,at 91,91 urte zituela,dico_trial_0001__eu-en__reverse,EQUIVALENCE
dico_trial_0001__en-eu__reverse,dico_trial_0001,en,eu,aged 91,91 urterekin,dico_trial_0001__eu-en__forward,EQUIVALENCE
dico_trial_0001__es-en__forward,dico_trial_0001,es,en,a los 91 años,aged 91,dico_trial_0001__en-es__reverse,EQUIVALENCE
dico_trial_0001__es-en__reverse,dico_trial_0001,es,en,de 91 años,at 91,dico_trial_0001__en-es__forward,EQUIVALENCE
dico_trial_0001__es-eu__forward,dico_trial_0001,es,eu,a los 91 años,91 urte zituela,dico_trial_0001__eu-es__reverse,EQUIVALENCE
dico_trial_0001__es-eu__reverse,dico_trial_0001,es,eu,de 91 años,91 urterekin,dico_trial_0001__eu-es__forward,EQUIVALENCE
dico_trial_0001__eu-en__forward,dico_trial_0001,eu,en,91 urterekin,aged 91,dico_trial_0001__en-eu__reverse,EQUIVALENCE
dico_trial_0001__eu-en__reverse,dico_trial_0001,eu,en,91 urte zituela,at 91,dico_trial_0001__en-eu__forward,EQUIVALENCE
dico_trial_0001__eu-es__forward,dico_trial_0001,eu,es,91 urterekin,de 91 años,dico_trial_0001__es-eu__reverse,EQUIVALENCE
dico_trial_0001__eu-es__reverse,dico_trial_0001,eu,es,91 urte zituela,a los 91 años,dico_trial_0001__es-eu__forward,EQUIVALENCE
dico_trial_0002__en-es__forward,dico_trial_0002,en,es,in Olympics,en los Juegos Olímpicos,dico_trial_0002__es-en__reverse,EQUIVALENCE
dico_trial_0002__en-es__reverse,dico_trial_0002,en,es,At Olympics,en los Juegos Olímpicos,dico_trial_0002__es-en__forward,EQUIVALENCE
dico_trial_0002__en-eu__forward,dico_trial_0002,en,eu,in Olympics,Olinpiar Jokoetan,dico_trial_0002__eu-en__reverse,EQUIVALENCE
dico_trial_0002__en-eu__reverse,dico_trial_0002,en,eu,At Olympics,Olinpiar Jokoetan,dico_trial_0002__eu-en__forward,EQUIVALENCE
dico_trial_0002__es-en__forward,dico_trial_0002,es,en,en los Juegos Olímpicos,At Olympics,dico_trial_0002__en-es__reverse,EQUIVALENCE
dico_trial_0002__es-en__reverse,dico_trial_0002,es,en,en los Juegos Olímpicos,in Olympics,dico_trial_0002__en-es__forward,EQUIVALENCE
dico_trial_0002__es-eu__forward,dico_trial_0002,es,eu,en los Juegos Olímpicos,Olinpiar Jokoetan,dico_trial_0002__eu-es__reverse,EQUIVALENCE
dico_trial_0002__es-eu__reverse,dico_trial_0002,es,eu,en los Juegos Olímpicos,Olinpiar Jokoetan,dico_trial_0002__eu-es__forward,EQUIVALENCE
dico_trial_0002__eu-en__forward,dico_trial_0002,eu,en,Olinpiar Jokoetan,At Olympics,dico_trial_0002__en-eu__reverse,EQUIVALENCE
