instance_id,pair_id,text1_lang,text2_lang,text1,text2
dico_phrasis_0000022__en-en__forward,dico_phrasis_0000022,en,en,Ship,Australian ship
dico_phrasis_0000022__en-en__reverse,dico_phrasis_0000022,en,en,Australian ship,Ship
dico_phrasis_0000024__en-en__forward,dico_phrasis_0000024,en,en,destroy,in destroying
dico_phrasis_0000024__en-en__reverse,dico_phrasis_0000024,en,en,in destroying,destroy
dico_phrasis_0000028__en-en__forward,dico_phrasis_0000028,en,en,proposal,for plan
dico_phrasis_0000028__en-en__reverse,dico_phrasis_0000028,en,en,for plan,proposal
dico_phrasis_0000036__en-en__forward,dico_phrasis_0000036,en,en,as Australian PM,as Australia 's new Prime Minister
dico_phrasis_0000036__en-en__reverse,dico_phrasis_0000036,en,en,as Australia 's new Prime Minister,as Australian PM
dico_phrasis_0000040__en-en__forward,dico_phrasis_0000040,en,en,Police,Turkish police
dico_phrasis_0000040__en-en__reverse,dico_phrasis_0000040,en,en,Turkish police,Police
dico_phrasis_0000041__en-en__forward,dico_phrasis_0000041,en,en,water cannon,"teargas , water cannon"
dico_phrasis_0000041__en-en__reverse,dico_phrasis_0000041,en,en,"teargas , water cannon",water cannon
dico_phrasis_0000054__en-en__forward,dico_phrasis_0000054,en,en,'s Benghazi,in Benghazi
dico_phrasis_0000054__en-en__reverse,dico_phrasis_0000054,en,en,in Benghazi,'s Benghazi
dico_phrasis_0000056__en-en__forward,dico_phrasis_0000056,en,en,30 short-range missiles,short-range missiles
dico_phrasis_0000056__en-en__reverse,dico_phrasis_0000056,en,en,short-range missiles,30 short-range missiles
dico_phrasis_0000057__en-en__forward,dico_phrasis_0000057,en,en,Crusader castle,historic Crusader castle
dico_phrasis_0000057__en-en__reverse,dico_phrasis_0000057,en,en,historic Crusader castle,Crusader castle
dico_phrasis_0000060__en-en__forward,dico_phrasis_0000060,en,en,Five people,five men
dico_phrasis_0000060__en-en__reverse,dico_phrasis_0000060,en,en,five men,Five people
dico_phrasis_0000074__en-en__forward,dico_phrasis_0000074,en,en,Judge,U.S. judge
dico_phrasis_0000074__en-en__reverse,dico_phrasis_0000074,en,en,U.S. judge,Judge
dico_phrasis_0000083__en-en__forward,dico_phrasis_0000083,en,en,Canada,Canadian government
dico_phrasis_0000083__en-en__reverse,dico_phrasis_0000083,en,en,Canadian government,Canada
dico_phrasis_0000084__en-en__forward,dico_phrasis_0000084,en,en,oil pipeline,controversial oil pipeline
dico_phrasis_0000084__en-en__reverse,dico_phrasis_0000084,en,en,controversial oil pipeline,oil pipeline
dico_phrasis_0000085__en-en__forward,dico_phrasis_0000085,en,en,sanctions,arms trafficking charges
dico_phrasis_0000085__en-en__reverse,dico_phrasis_0000085,en,en,arms trafficking charges,sanctions
dico_phrasis_0000094__en-en__forward,dico_phrasis_0000094,en,en,Palestinian diplomat,Palestinian ambassador
dico_phrasis_0000094__en-en__reverse,dico_phrasis_0000094,en,en,Palestinian ambassador,Palestinian diplomat
dico_phrasis_0000097__en-en__forward,dico_phrasis_0000097,en,en,Two women,Two ladies
dico_phrasis_0000097__en-en__reverse,dico_phrasis_0000097,en,en,Two ladies,Two women
dico_phrasis_0000101__en-en__forward,dico_phrasis_0000101,en,en,A person,A biker
dico_phrasis_0000101__en-en__reverse,dico_phrasis_0000101,en,en,A biker,A person
dico_phrasis_0000107__en-en__forward,dico_phrasis_0000107,en,en,A dog,A brown and white dog
dico_phrasis_0000107__en-en__reverse,dico_phrasis_0000107,en,en,A brown and white dog,A dog
dico_phrasis_0000118__en-en__forward,dico_phrasis_0000118,en,en,on the grass,through the tall green grass
dico_phrasis_0000118__en-en__reverse,dico_phrasis_0000118,en,en,through the tall green grass,on the grass
dico_phrasis_0000121__en-en__forward,dico_phrasis_0000121,en,en,on the water,on glassy water
dico_phrasis_0000121__en-en__reverse,dico_phrasis_0000121,en,en,on glassy water,on the water
dico_phrasis_0000124__en-en__forward,dico_phrasis_0000124,en,en,A person,A young woman
dico_phrasis_0000124__en-en__reverse,dico_phrasis_0000124,en,en,A young woman,A person
dico_phrasis_0000125__en-en__forward,dico_phrasis_0000125,en,en,through green grass,in an overgrown grassy field
dico_phrasis_0000125__en-en__reverse,dico_phrasis_0000125,en,en,in an overgrown grassy field,through green grass
dico_phrasis_0000131__en-en__forward,dico_phrasis_0000131,en,en,a bubble,bubbles
dico_phrasis_0000131__en-en__reverse,dico_phrasis_0000131,en,en,bubbles,a bubble
dico_phrasis_0000136__en-en__forward,dico_phrasis_0000136,en,en,a tree,by a tree
dico_phrasis_0000136__en-en__reverse,dico_phrasis_0000136,en,en,by a tree,a tree
dico_phrasis_0000151__en-en__forward,dico_phrasis_0000151,en,en,through snow,through a snowy field
dico_phrasis_0000151__en-en__reverse,dico_phrasis_0000151,en,en,through a snowy field,through snow
dico_phrasis_0000155__en-en__forward,dico_phrasis_0000155,en,en,a blue jacket,in a blue jacket
dico_phrasis_0000155__en-en__reverse,dico_phrasis_0000155,en,en,in a blue jacket,a blue jacket
dico_phrasis_0000157__en-en__forward,dico_phrasis_0000157,en,en,Two dogs,Two black dogs
dico_phrasis_0000157__en-en__reverse,dico_phrasis_0000157,en,en,Two black dogs,Two dogs
dico_phrasis_0000158__en-en__forward,dico_phrasis_0000158,en,en,A black dog,A black and tan dog
dico_phrasis_0000158__en-en__reverse,dico_phrasis_0000158,en,en,A black and tan dog,A black dog
dico_phrasis_0000161__en-en__forward,dico_phrasis_0000161,en,en,'s leg,at the leg
dico_phrasis_0000161__en-en__reverse,dico_phrasis_0000161,en,en,at the leg,'s leg
dico_phrasis_0000162__en-en__forward,dico_phrasis_0000162,en,en,a horse,of a horse
dico_phrasis_0000162__en-en__reverse,dico_phrasis_0000162,en,en,of a horse,a horse
dico_phrasis_0000168__en-en__forward,dico_phrasis_0000168,en,en,A black and white dog,"A black , brown and white dog"
dico_phrasis_0000168__en-en__reverse,dico_phrasis_0000168,en,en,"A black , brown and white dog",A black and white dog
dico_phrasis_0000172__en-en__forward,dico_phrasis_0000172,en,en,on the grass,in a grassy plain
dico_phrasis_0000172__en-en__reverse,dico_phrasis_0000172,en,en,in a grassy plain,on the grass
dico_phrasis_0000180__en-en__forward,dico_phrasis_0000180,en,en,with a stick,with sticks
dico_phrasis_0000180__en-en__reverse,dico_phrasis_0000180,en,en,with sticks,with a stick
dico_phrasis_0000188__en-en__forward,dico_phrasis_0000188,en,en,a white dog,A little white dog
dico_phrasis_0000188__en-en__reverse,dico_phrasis_0000188,en,en,A little white dog,a white dog
dico_phrasis_0000193__en-en__forward,dico_phrasis_0000193,en,en,A dog,A brown dog
dico_phrasis_0000193__en-en__reverse,dico_phrasis_0000193,en,en,A brown dog,A dog
dico_phrasis_0000208__en-en__forward,dico_phrasis_0000208,en,en,Baby,A female toddler
dico_phrasis_0000208__en-en__reverse,dico_phrasis_0000208,en,en,A female toddler,Baby
dico_phrasis_0000213__en-en__forward,dico_phrasis_0000213,en,en,Two dogs,Two tan dogs
dico_phrasis_0000213__en-en__reverse,dico_phrasis_0000213,en,en,Two tan dogs,Two dogs
dico_phrasis_0000219__en-en__forward,dico_phrasis_0000219,en,en,across the snow,around the flat snowy street
dico_phrasis_0000219__en-en__reverse,dico_phrasis_0000219,en,en,around the flat snowy street,across the snow
dico_phrasis_0000220__en-en__forward,dico_phrasis_0000220,en,en,a ball,an orange ball
dico_phrasis_0000220__en-en__reverse,dico_phrasis_0000220,en,en,an orange ball,a ball
dico_phrasis_0000221__en-en__forward,dico_phrasis_0000221,en,en,in a yard,in a grassy field
dico_phrasis_0000221__en-en__reverse,dico_phrasis_0000221,en,en,in a grassy field,in a yard
dico_phrasis_0000223__en-en__forward,dico_phrasis_0000223,en,en,while a bull,of a brown bull
dico_phrasis_0000223__en-en__reverse,dico_phrasis_0000223,en,en,of a brown bull,while a bull
dico_phrasis_0000229__en-en__forward,dico_phrasis_0000229,en,en,Friday,midday Friday
dico_phrasis_0000229__en-en__reverse,dico_phrasis_0000229,en,en,midday Friday,Friday
dico_phrasis_0000230__en-en__forward,dico_phrasis_0000230,en,en,Boeing 787 Dreamliner,on 787 Dreamliner
dico_phrasis_0000230__en-en__reverse,dico_phrasis_0000230,en,en,on 787 Dreamliner,Boeing 787 Dreamliner
dico_phrasis_0000240__en-en__forward,dico_phrasis_0000240,en,en,Opposition leaders,Cambodia opposition leaders
dico_phrasis_0000240__en-en__reverse,dico_phrasis_0000240,en,en,Cambodia opposition leaders,Opposition leaders
dico_phrasis_0000242__en-en__forward,dico_phrasis_0000242,en,en,North Korean nuclear test,North Korea controversial third nuclear test
dico_phrasis_0000242__en-en__reverse,dico_phrasis_0000242,en,en,North Korea controversial third nuclear test,North Korean nuclear test
dico_phrasis_0000248__en-en__forward,dico_phrasis_0000248,en,en,50th anniversary,On 50th anniversary
dico_phrasis_0000248__en-en__reverse,dico_phrasis_0000248,en,en,On 50th anniversary,50th anniversary
dico_phrasis_0000251__en-en__forward,dico_phrasis_0000251,en,en,hopes,High Hopes
dico_phrasis_0000251__en-en__reverse,dico_phrasis_0000251,en,en,High Hopes,hopes
dico_phrasis_0000257__en-en__forward,dico_phrasis_0000257,en,en,Committee,Senate Judiciary Committee
dico_phrasis_0000257__en-en__reverse,dico_phrasis_0000257,en,en,Senate Judiciary Committee,Committee
dico_phrasis_0000259__en-en__forward,dico_phrasis_0000259,en,en,health care law,new health care law
dico_phrasis_0000259__en-en__reverse,dico_phrasis_0000259,en,en,new health care law,health care law
dico_phrasis_0000264__en-en__forward,dico_phrasis_0000264,en,en,to Oprah,in Oprah interview
dico_phrasis_0000264__en-en__reverse,dico_phrasis_0000264,en,en,in Oprah interview,to Oprah
dico_phrasis_0000265__en-en__forward,dico_phrasis_0000265,en,en,six global powers,world powers
dico_phrasis_0000265__en-en__reverse,dico_phrasis_0000265,en,en,world powers,six global powers
dico_phrasis_0000283__en-en__forward,dico_phrasis_0000283,en,en,Muslim Brotherhood supporter,Muslim Brotherhood supporters
dico_phrasis_0000283__en-en__reverse,dico_phrasis_0000283,en,en,Muslim Brotherhood supporters,Muslim Brotherhood supporter
dico_phrasis_0000284__en-en__forward,dico_phrasis_0000284,en,en,Thursday,on Thursday
dico_phrasis_0000284__en-en__reverse,dico_phrasis_0000284,en,en,on Thursday,Thursday
dico_phrasis_0000288__en-en__forward,dico_phrasis_0000288,en,en,in Spanish train crash,in Spanish high-speed train crash
dico_phrasis_0000288__en-en__reverse,dico_phrasis_0000288,en,en,in Spanish high-speed train crash,in Spanish train crash
dico_phrasis_0000289__en-en__forward,dico_phrasis_0000289,en,en,Up to 50 dead,Over 70 dead
dico_phrasis_0000289__en-en__reverse,dico_phrasis_0000289,en,en,Over 70 dead,Up to 50 dead
dico_phrasis_0000292__en-en__forward,dico_phrasis_0000292,en,en,900 settlement homes,for new settler homes
dico_phrasis_0000292__en-en__reverse,dico_phrasis_0000292,en,en,for new settler homes,900 settlement homes
dico_phrasis_0000297__en-en__forward,dico_phrasis_0000297,en,en,Tornadoes,"Tornadoes , damaging storms"
dico_phrasis_0000297__en-en__reverse,dico_phrasis_0000297,en,en,"Tornadoes , damaging storms",Tornadoes
dico_phrasis_0000298__en-en__forward,dico_phrasis_0000298,en,en,US hacking claims,` groundless ' US hacking accusations
dico_phrasis_0000298__en-en__reverse,dico_phrasis_0000298,en,en,` groundless ' US hacking accusations,US hacking claims
dico_phrasis_0000300__en-en__forward,dico_phrasis_0000300,en,en,Senate,US Senate
dico_phrasis_0000300__en-en__reverse,dico_phrasis_0000300,en,en,US Senate,Senate
dico_phrasis_0000310__en-en__forward,dico_phrasis_0000310,en,en,US,US House
dico_phrasis_0000310__en-en__reverse,dico_phrasis_0000310,en,en,US House,US
dico_phrasis_0000313__en-en__forward,dico_phrasis_0000313,en,en,5,at least ten
dico_phrasis_0000313__en-en__reverse,dico_phrasis_0000313,en,en,at least ten,5
dico_phrasis_0000330__en-en__forward,dico_phrasis_0000330,en,en,iPhone,iPhone 4 imports
dico_phrasis_0000330__en-en__reverse,dico_phrasis_0000330,en,en,iPhone 4 imports,iPhone
dico_phrasis_0000331__en-en__forward,dico_phrasis_0000331,en,en,China,China and Taiwan
dico_phrasis_0000331__en-en__reverse,dico_phrasis_0000331,en,en,China and Taiwan,China
dico_phrasis_0000337__en-en__forward,dico_phrasis_0000337,en,en,Pakistani,in Pakistan
dico_phrasis_0000337__en-en__reverse,dico_phrasis_0000337,en,en,in Pakistan,Pakistani
dico_phrasis_0000345__en-en__forward,dico_phrasis_0000345,en,en,George Zimmerman,after Zimmerman
dico_phrasis_0000345__en-en__reverse,dico_phrasis_0000345,en,en,after Zimmerman,George Zimmerman
dico_phrasis_0000347__en-en__forward,dico_phrasis_0000347,en,en,Mubarak,of Mubarak
dico_phrasis_0000347__en-en__reverse,dico_phrasis_0000347,en,en,of Mubarak,Mubarak
dico_phrasis_0000349__en-en__forward,dico_phrasis_0000349,en,en,for son,in favor of son
dico_phrasis_0000349__en-en__reverse,dico_phrasis_0000349,en,en,in favor of son,for son
dico_phrasis_0000350__en-en__forward,dico_phrasis_0000350,en,en,8-10 people,of people
dico_phrasis_0000350__en-en__reverse,dico_phrasis_0000350,en,en,of people,8-10 people
dico_phrasis_0000354__en-en__forward,dico_phrasis_0000354,en,en,11 Foreign Tourists,11 foreign climbers
dico_phrasis_0000354__en-en__reverse,dico_phrasis_0000354,en,en,11 foreign climbers,11 Foreign Tourists
dico_phrasis_0000355__en-en__forward,dico_phrasis_0000355,en,en,of easyJet,of British no-frills airline easyJet
dico_phrasis_0000355__en-en__reverse,dico_phrasis_0000355,en,en,of British no-frills airline easyJet,of easyJet
dico_phrasis_0000360__en-en__forward,dico_phrasis_0000360,en,en,Washington Post,For The Washington Post
dico_phrasis_0000360__en-en__reverse,dico_phrasis_0000360,en,en,For The Washington Post,Washington Post
dico_phrasis_0000372__en-en__forward,dico_phrasis_0000372,en,en,3 militants,4 militants
dico_phrasis_0000372__en-en__reverse,dico_phrasis_0000372,en,en,4 militants,3 militants
dico_phrasis_0000376__en-en__forward,dico_phrasis_0000376,en,en,Four dead,Five dead
dico_phrasis_0000376__en-en__reverse,dico_phrasis_0000376,en,en,Five dead,Four dead
dico_phrasis_0000378__en-en__forward,dico_phrasis_0000378,en,en,Miss America crown,Miss America
dico_phrasis_0000378__en-en__reverse,dico_phrasis_0000378,en,en,Miss America,Miss America crown
dico_phrasis_0000384__en-en__forward,dico_phrasis_0000384,en,en,Kenyan police,Kenya By Anti-Terror Police
dico_phrasis_0000384__en-en__reverse,dico_phrasis_0000384,en,en,Kenya By Anti-Terror Police,Kenyan police
