instance_id,pair_id,text1_lang,text2_lang,text1,text2,reverse_pair_id,label
dico_phrasis_0000001__en-es__flipped,dico_phrasis_0000001,en,es,Conservative opposition,Conservadores,dico_phrasis_0000001__es-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000001__en-es__original,dico_phrasis_0000001,en,es,Conservatives,Oposición conservadora,dico_phrasis_0000001__es-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000001__en-eu__flipped,dico_phrasis_0000001,en,eu,Conservative opposition,Kontserbadoreak,dico_phrasis_0000001__eu-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000001__en-eu__original,dico_phrasis_0000001,en,eu,Conservatives,Oposizio kontserbadorea,dico_phrasis_0000001__eu-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000001__es-en__flipped,dico_phrasis_0000001,es,en,Oposición conservadora,Conservatives,dico_phrasis_0000001__en-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000001__es-en__original,dico_phrasis_0000001,es,en,Conservadores,Conservative opposition,dico_phrasis_0000001__en-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000001__es-eu__flipped,dico_phrasis_0000001,es,eu,Oposición conservadora,Kontserbadoreak,dico_phrasis_0000001__eu-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000001__es-eu__original,dico_phrasis_0000001,es,eu,Conservadores,Oposizio kontserbadorea,dico_phrasis_0000001__eu-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000001__eu-en__flipped,dico_phrasis_0000001,eu,en,Oposizio kontserbadorea,Conservatives,dico_phrasis_0000001__en-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000001__eu-en__original,dico_phrasis_0000001,eu,en,Kontserbadoreak,Conservative opposition,dico_phrasis_0000001__en-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000001__eu-es__flipped,dico_phrasis_0000001,eu,es,Oposizio kontserbadorea,Conservadores,dico_phrasis_0000001__es-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000001__eu-es__original,dico_phrasis_0000001,eu,es,Kontserbadoreak,Oposición conservadora,dico_phrasis_0000001__es-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000003__en-es__flipped,dico_phrasis_0000003,en,es,Japanese PM Shinzo Abe,Abe,dico_phrasis_0000003__es-en__original,FORWARD_ENTAILMENT
dico_phrasis_0000003__en-es__original,dico_phrasis_0000003,en,es,Abe,el primer ministro japonés Shinzo Abe,dico_phrasis_0000003__es-en__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000003__en-eu__flipped,dico_phrasis_0000003,en,eu,Japanese PM Shinzo Abe,Abe,dico_phrasis_0000003__eu-en__original,FORWARD_ENTAILMENT
