instance_id,pair_id,text1_lang,text2_lang,text1,text2,label
dico_phrasis_0000001__en-es__flipped,dico_phrasis_0000001,en,es,Conservative opposition,Conservadores,FORWARD_ENTAILMENT
dico_phrasis_0000001__en-es__original,dico_phrasis_0000001,en,es,Conservatives,Oposición conservadora,BACKWARD_ENTAILMENT
dico_phrasis_0000001__en-eu__flipped,dico_phrasis_0000001,en,eu,Conservative opposition,Kontserbadoreak,FORWARD_ENTAILMENT
dico_phrasis_0000001__en-eu__original,dico_phrasis_0000001,en,eu,Conservatives,Oposizio kontserbadorea,BACKWARD_ENTAILMENT
dico_phrasis_0000001__es-en__flipped,dico_phrasis_0000001,es,en,Oposición conservadora,Conservatives,FORWARD_ENTAILMENT
dico_phrasis_0000001__es-en__original,dico_phrasis_0000001,es,en,Conservadores,Conservative opposition,BACKWARD_ENTAILMENT
dico_phrasis_0000001__es-eu__flipped,dico_phrasis_0000001,es,eu,Oposición conservadora,Kontserbadoreak,FORWARD_ENTAILMENT
dico_phrasis_0000001__es-eu__original,dico_phrasis_0000001,es,eu,Conservadores,Oposizio kontserbadorea,BACKWARD_ENTAILMENT
dico_phrasis_0000001__eu-en__flipped,dico_phrasis_0000001,eu,en,Oposizio kontserbadorea,Conservatives,FORWARD_ENTAILMENT
dico_phrasis_0000001__eu-en__original,dico_phrasis_0000001,eu,en,Kontserbadoreak,Conservative opposition,BACKWARD_ENTAILMENT
dico_phrasis_0000001__eu-es__flipped,dico_phrasis_0000001,eu,es,Oposizio kontserbadorea,Conservadores,FORWARD_ENTAILMENT
dico_phrasis_0000001__eu-es__original,dico_phrasis_0000001,eu,es,Kontserbadoreak,Oposición conservadora,BACKWARD_ENTAILMENT
dico_phrasis_0000003__en-es__flipped,dico_phrasis_0000003,en,es,Japanese PM Shinzo Abe,Abe,FORWARD_ENTAILMENT
dico_phrasis_0000003__en-es__original,dico_phrasis_0000003,en,es,Abe,el primer ministro japonés Shinzo Abe,BACKWARD_ENTAILMENT
dico_phrasis_0000003__en-eu__flipped,dico_phrasis_0000003,en,eu,Japanese PM Shinzo Abe,Abe,FORWARD_ENTAILMENT
dico_phrasis_0000003__en-eu__original,dico_phrasis_0000003,en,eu,Abe,Shinzo Abe Japoniako lehen ministroa,BACKWARD_ENTAILMENT
dico_phrasis_0000003__es-en__flipped,dico_phrasis_0000003,es,en,el primer ministro japonés Shinzo Abe,Abe,FORWARD_ENTAILMENT
dico_phrasis_0000003__es-en__original,dico_phrasis_0000003,es,en,Abe,Japanese PM Shinzo Abe,BACKWARD_ENTAILMENT
dico_phrasis_0000003__es-eu__flipped,dico_phrasis_0000003,es,eu,el primer ministro japonés Shinzo Abe,Abe,FORWARD_ENTAILMENT
dico_phrasis_0000003__es-eu__original,dico_phrasis_0000003,es,eu,Abe,Shinzo Abe Japoniako lehen ministroa,BACKWARD_ENTAILMENT
dico_phrasis_0000003__eu-en__flipped,dico_phrasis_0000003,eu,en,Shinzo Abe Japoniako lehen ministroa,Abe,FORWARD_ENTAILMENT
dico_phrasis_0000003__eu-en__original,dico_phrasis_0000003,eu,en,Abe,Japanese PM Shinzo Abe,BACKWARD_ENTAILMENT
dico_phrasis_0000003__eu-es__flipped,dico_phrasis_0000003,eu,es,Shinzo Abe Japoniako lehen ministroa,Abe,FORWARD_ENTAILMENT
dico_phrasis_0000003__eu-es__original,dico_phrasis_0000003,eu,es,Abe,el primer ministro japonés Shinzo Abe,BACKWARD_ENTAILMENT
dico_phrasis_0000005__en-es__flipped,dico_phrasis_0000005,en,es,ballistic missiles,misiles,FORWARD_ENTAILMENT
dico_phrasis_0000005__en-es__original,dico_phrasis_0000005,en,es,missiles,misiles balísticos,BACKWARD_ENTAILMENT
dico_phrasis_0000005__en-eu__flipped,dico_phrasis_0000005,en,eu,ballistic missiles,misilak,FORWARD_ENTAILMENT
dico_phrasis_0000005__en-eu__original,dico_phrasis_0000005,en,eu,missiles,misil balistikoak,BACKWARD_ENTAILMENT
dico_phrasis_0000005__es-en__flipped,dico_phrasis_0000005,es,en,misiles balísticos,missiles,FORWARD_ENTAILMENT
dico_phrasis_0000005__es-en__original,dico_phrasis_0000005,es,en,misiles,ballistic missiles,BACKWARD_ENTAILMENT
dico_phrasis_0000005__es-eu__flipped,dico_phrasis_0000005,es,eu,misiles balísticos,misilak,FORWARD_ENTAILMENT
dico_phrasis_0000005__es-eu__original,dico_phrasis_0000005,es,eu,misiles,misil balistikoak,BACKWARD_ENTAILMENT
dico_phrasis_0000005__eu-en__flipped,dico_phrasis_0000005,eu,en,misil balistikoak,missiles,FORWARD_ENTAILMENT
dico_phrasis_0000005__eu-en__original,dico_phrasis_0000005,eu,en,misilak,ballistic missiles,BACKWARD_ENTAILMENT
dico_phrasis_0000005__eu-es__flipped,dico_phrasis_0000005,eu,es,misil balistikoak,misiles,FORWARD_ENTAILMENT
dico_phrasis_0000005__eu-es__original,dico_phrasis_0000005,eu,es,misilak,misiles balísticos,BACKWARD_ENTAILMENT
dico_phrasis_0000006__en-es__flipped,dico_phrasis_0000006,en,es,among all dead,entre 9 muertos,FORWARD_ENTAILMENT
dico_phrasis_0000006__en-es__original,dico_phrasis_0000006,en,es,among 9 killed,entre todos los muertos,BACKWARD_ENTAILMENT
dico_phrasis_0000006__en-eu__flipped,dico_phrasis_0000006,en,eu,among all dead,hildako 9 lagunen artean,FORWARD_ENTAILMENT
dico_phrasis_0000006__en-eu__original,dico_phrasis_0000006,en,eu,among 9 killed,hildako guztien artean,BACKWARD_ENTAILMENT
dico_phrasis_0000006__es-en__flipped,dico_phrasis_0000006,es,en,entre todos los muertos,among 9 killed,FORWARD_ENTAILMENT
dico_phrasis_0000006__es-en__original,dico_phrasis_0000006,es,en,entre 9 muertos,among all dead,BACKWARD_ENTAILMENT
dico_phrasis_0000006__es-eu__flipped,dico_phrasis_0000006,es,eu,entre todos los muertos,hildako 9 lagunen artean,FORWARD_ENTAILMENT
dico_phrasis_0000006__es-eu__original,dico_phrasis_0000006,es,eu,entre 9 muertos,hildako guztien artean,BACKWARD_ENTAILMENT
dico_phrasis_0000006__eu-en__flipped,dico_phrasis_0000006,eu,en,hildako guztien artean,among 9 killed,FORWARD_ENTAILMENT
dico_phrasis_0000006__eu-en__original,dico_phrasis_0000006,eu,en,hildako 9 lagunen artean,among all dead,BACKWARD_ENTAILMENT
dico_phrasis_0000006__eu-es__flipped,dico_phrasis_0000006,eu,es,hildako guztien artean,entre 9 muertos,FORWARD_ENTAILMENT
dico_phrasis_0000006__eu-es__original,dico_phrasis_0000006,eu,es,hildako 9 lagunen artean,entre todos los muertos,BACKWARD_ENTAILMENT
dico_phrasis_0000009__en-es__flipped,dico_phrasis_0000009,en,es,89 dead,22 muertos,FORWARD_ENTAILMENT
dico_phrasis_0000009__en-es__original,dico_phrasis_0000009,en,es,22 Dead,89 muertos,BACKWARD_ENTAILMENT
dico_phrasis_0000009__en-eu__flipped,dico_phrasis_0000009,en,eu,89 dead,22 hildako,FORWARD_ENTAILMENT
dico_phrasis_0000009__en-eu__original,dico_phrasis_0000009,en,eu,22 Dead,89 hildako,BACKWARD_ENTAILMENT
dico_phrasis_0000009__es-en__flipped,dico_phrasis_0000009,es,en,89 muertos,22 Dead,FORWARD_ENTAILMENT
dico_phrasis_0000009__es-en__original,dico_phrasis_0000009,es,en,22 muertos,89 dead,BACKWARD_ENTAILMENT
dico_phrasis_0000009__es-eu__flipped,dico_phrasis_0000009,es,eu,89 muertos,22 hildako,FORWARD_ENTAILMENT
dico_phrasis_0000009__es-eu__original,dico_phrasis_0000009,es,eu,22 muertos,89 hildako,BACKWARD_ENTAILMENT
dico_phrasis_0000009__eu-en__flipped,dico_phrasis_0000009,eu,en,89 hildako,22 Dead,FORWARD_ENTAILMENT
